code,number,name,frequency,coverage
95,647,alcove-s,28,28.0
96,646,doorway-indoor-s,28,28.0
97,645,bus_interior-s,28,28.0
98,650,access_road-s,27,27.0
99,652,archive-s,27,27.0
100,651,landing_deck-s,27,27.0
101,662,waterfall-block-s,26,26.0
102,661,gymnasium-indoor-s,26,26.0
103,672,office_building-s,25,25.0
104,677,ocean-s,25,25.0
105,671,cathedral-indoor-s,25,25.0
106,674,badlands-s,25,25.0
107,675,forest_path-s,25,25.0
108,673,baggage_claim-s,25,25.0
109,676,home_theater-s,25,25.0
110,696,toyshop-s,24,24.0
111,689,harbor-s,24,24.0
112,694,library-indoor-s,24,24.0
113,697,dentists_office-s,24,24.0
114,692,bowling_alley-s,24,24.0
115,690,amusement_arcade-s,24,24.0
116,695,restaurant-s,24,24.0
117,686,fastfood_restaurant-s,24,24.0
118,691,poolroom-establishment-s,24,24.0
119,688,church-indoor-s,24,24.0
120,693,auto_showroom-s,24,24.0
121,687,gas_station-s,24,24.0
122,711,theater-indoor_procenium-s,23,23.0
123,713,construction_site-s,23,23.0
124,708,fairway-s,23,23.0
125,712,parking_garage-indoor-s,23,23.0
126,710,yard-s,23,23.0
127,709,courthouse-s,23,23.0
128,706,bow_window-outdoor-s,23,23.0
129,707,driveway-s,23,23.0
130,728,water_tower-s,22,22.0
131,725,cubicle-office-s,22,22.0
132,726,computer_room-s,22,22.0
133,731,music_studio-s,22,22.0
134,721,amphitheater-s,22,22.0
135,730,airplane_cabin-s,22,22.0
136,729,campus-s,22,22.0
137,727,kindergarden_classroom-s,22,22.0
138,724,control_tower-outdoor-s,22,22.0
139,722,ball_pit-s,22,22.0
140,723,desert-sand-s,22,22.0
141,742,cloister-indoor-s,21,21.0
142,745,weighbridge-s,21,21.0
143,741,swimming_pool-outdoor-s,21,21.0
144,743,wine_cellar-barrel_storage-s,21,21.0
145,740,delicatessen-s,21,21.0
146,746,shopping_mall-indoor-s,21,21.0
147,744,restaurant_patio-s,21,21.0
148,747,berth-s,21,21.0
149,754,swimming_pool-indoor-s,20,20.0
150,755,waterfall-fan-s,20,20.0
151,759,videostore-s,20,20.0
152,757,cemetery-s,20,20.0
153,760,reading_room-s,20,20.0
154,753,geodesic_dome-outdoor-s,20,20.0
155,758,windmill-s,20,20.0
156,756,ice_skating_rink-indoor-s,20,20.0
157,772,atrium-public-s,19,19.0
158,771,courtroom-s,19,19.0
159,768,dining_car-s,19,19.0
160,767,day_care_center-s,19,19.0
161,765,movie_theater-indoor-s,19,19.0
162,770,mansion-s,19,19.0
163,769,jail_cell-s,19,19.0
164,766,sauna-s,19,19.0
165,790,mosque-outdoor-s,18,18.0
166,789,lecture_room-s,18,18.0
167,783,campsite-s,18,18.0
168,782,doorway-outdoor-s,18,18.0
169,788,church-outdoor-s,18,18.0
170,787,inn-indoor-s,18,18.0
171,786,hospital_room-s,18,18.0
172,785,florist_shop-indoor-s,18,18.0
173,791,aqueduct-s,18,18.0
174,784,shower-s,18,18.0
175,802,forest_road-s,17,17.0
176,803,cabin-outdoor-s,17,17.0
177,804,operating_room-s,17,17.0
178,805,inn-outdoor-s,17,17.0
179,823,crosswalk-s,16,16.0
180,814,sandbox-s,16,16.0
181,818,hayfield-s,16,16.0
182,817,snowfield-s,16,16.0
183,816,planetarium-outdoor-s,16,16.0
184,826,slum-s,16,16.0
185,825,islet-s,16,16.0
186,815,shopfront-s,16,16.0
187,824,television_studio-s,16,16.0
188,822,locker_room-s,16,16.0
189,821,barn-s,16,16.0
190,820,botanical_garden-s,16,16.0
191,819,carrousel-s,16,16.0
192,840,subway_station-corridor-s,15,15.0
193,849,rope_bridge-s,15,15.0
194,837,hunting_lodge-outdoor-s,15,15.0
195,843,kasbah-s,15,15.0
196,838,marsh-s,15,15.0
197,844,auto_factory-s,15,15.0
198,846,balcony-exterior-s,15,15.0
199,848,chicken_coop-outdoor-s,15,15.0
200,834,ski_resort-s,15,15.0
201,833,diner-outdoor-s,15,15.0
202,842,corn_field-s,15,15.0
203,841,kitchenette-s,15,15.0
204,836,village-s,15,15.0
205,835,monastery-outdoor-s,15,15.0
206,847,courtyard-s,15,15.0
207,845,martial_arts_gym-s,15,15.0
208,839,fountain-s,15,15.0
209,859,outhouse-outdoor-s,14,14.0
210,874,donjon-s,14,14.0
211,873,runway-s,14,14.0
212,862,viaduct-s,14,14.0
213,868,baptistry-outdoor-s,14,14.0
214,858,kiosk-indoor-s,14,14.0
215,867,farm-s,14,14.0
216,877,escalator-indoor-s,14,14.0
217,875,ruin-s,14,14.0
218,871,moor-s,14,14.0
219,861,art_school-s,14,14.0
220,872,hospital-s,14,14.0
221,864,pulpit-s,14,14.0
222,870,arch-s,14,14.0
223,869,wheat_field-s,14,14.0
224,865,garage-outdoor-s,14,14.0
225,878,airport-s,14,14.0
226,876,canyon-s,14,14.0
227,866,corral-s,14,14.0
228,863,bleachers-outdoor-s,14,14.0
229,860,stage-indoor-s,14,14.0
230,896,medina-s,13,13.0
231,911,kennel-indoor-s,13,13.0
232,895,bank-outdoor-s,13,13.0
233,904,car_interior-backseat-s,13,13.0
234,917,desert-vegetation-s,13,13.0
235,914,hot_spring-s,13,13.0
236,915,sandbar-s,13,13.0
237,901,dolmen-s,13,13.0
238,913,vegetable_garden-s,13,13.0
239,908,elevator-interior-s,13,13.0
240,907,embassy-s,13,13.0
241,919,covered_bridge-exterior-s,13,13.0
242,910,casino-outdoor-s,13,13.0
243,916,observatory-outdoor-s,13,13.0
244,902,dacha-s,13,13.0
245,912,cathedral-outdoor-s,13,13.0
246,900,fire_escape-s,13,13.0
247,897,candy_store-s,13,13.0
248,894,town_house-s,13,13.0
249,906,bus_depot-outdoor-s,13,13.0
250,905,jewelry_shop-s,13,13.0
251,898,palace-s,13,13.0
252,899,mountain_path-s,13,13.0
253,909,cavern-indoor-s,13,13.0
254,903,jail-indoor-s,13,13.0
255,918,conference_center-s,13,13.0
256,968,moat-water-s,12,12.0
257,941,fence-s,12,12.0
258,974,movie_theater-outdoor-s,12,12.0
259,958,bazaar-indoor-s,12,12.0
260,952,wrestling_ring-indoor-s,12,12.0
261,977,badminton_court-outdoor-s,12,12.0
262,966,vineyard-s,12,12.0
263,976,temple-east_asia-s,12,12.0
264,972,podium-indoor-s,12,12.0
265,962,kennel-outdoor-s,12,12.0
266,937,booth-indoor-s,12,12.0
267,961,watchtower-s,12,12.0
268,950,hangar-indoor-s,12,12.0
269,930,irrigation_ditch-s,12,12.0
270,956,elevator_lobby-s,12,12.0
271,931,dam-s,12,12.0
272,955,crevasse-s,12,12.0
273,970,convenience_store-outdoor-s,12,12.0
274,935,ghost_town-s,12,12.0
275,964,greenhouse-outdoor-s,12,12.0
276,963,boathouse-s,12,12.0
277,949,junk_pile-s,12,12.0
278,973,orchard-s,12,12.0
279,943,excavation-s,12,12.0
280,933,ranch-s,12,12.0
281,967,oast_house-s,12,12.0
282,969,kiosk-outdoor-s,12,12.0
283,936,canal-urban-s,12,12.0
284,953,ski_slope-s,12,12.0
285,947,sacristy-s,12,12.0
286,975,mountain_road-s,12,12.0
287,946,motel-s,12,12.0
288,945,student_residence-s,12,12.0
289,971,nuclear_power_plant-outdoor-s,12,12.0
290,940,stadium-baseball-s,12,12.0
291,939,boxing_ring-s,12,12.0
292,951,flood-s,12,12.0
293,942,airport-entrance-s,12,12.0
294,954,fitting_room-exterior-s,12,12.0
295,960,wine_cellar-bottle_storage-s,12,12.0
296,948,lift_bridge-s,12,12.0
297,965,fitting_room-interior-s,12,12.0
298,938,hotel-outdoor-s,12,12.0
299,934,carport-outdoor-s,12,12.0
300,944,ice_cream_parlor-s,12,12.0
301,959,subway_station-platform-s,12,12.0
302,932,ranch_house-s,12,12.0
303,957,estuary-s,12,12.0
304,1056,baptistry-indoor-s,11,11.0
305,1013,water_mill-s,11,11.0
306,992,coffee_shop-s,11,11.0
307,1007,mosque-indoor-s,11,11.0
308,1040,canal-natural-s,11,11.0
309,1043,downtown-s,11,11.0
310,1003,waterfall-cascade-s,11,11.0
311,1055,military_hut-s,11,11.0
312,1025,hacienda-s,11,11.0
313,1000,guardhouse-s,11,11.0
314,1017,apse-indoor-s,11,11.0
315,1012,pagoda-s,11,11.0
316,1011,shed-s,11,11.0
317,997,chalet-s,11,11.0
318,1009,topiary_garden-s,11,11.0
319,1034,oasis-s,11,11.0
320,1058,library-outdoor-s,11,11.0
321,1004,general_store-outdoor-s,11,11.0
322,1033,bank-indoor-s,11,11.0
323,1021,manufactured_home-s,11,11.0
324,1028,dugout-s,11,11.0
325,1052,bog-s,11,11.0
326,1027,workshop-s,11,11.0
327,1015,cloister-outdoor-s,11,11.0
328,1022,firing_range-outdoor-s,11,11.0
329,1006,herb_garden-s,11,11.0
330,1051,cargo_container_interior-s,11,11.0
331,1037,volleyball_court-outdoor-s,11,11.0
332,1019,synagogue-outdoor-s,11,11.0
333,1031,spa-massage_room-s,11,11.0
334,1048,elevator_shaft-s,11,11.0
335,1010,industrial_area-s,11,11.0
336,1039,train_station-outdoor-s,11,11.0
337,998,baseball_field-s,11,11.0
338,1008,lagoon-s,11,11.0
339,1023,barbershop-s,11,11.0
340,1032,savanna-s,11,11.0
341,994,lawn-s,11,11.0
342,993,labyrinth-indoor-s,11,11.0
343,1057,bullring-s,11,11.0
344,1046,market-indoor-s,11,11.0
345,1045,catwalk-s,11,11.0
346,1024,cottage_garden-s,11,11.0
347,1041,parking_garage-outdoor-s,11,11.0
348,1030,elevator-freight_elevator-s,11,11.0
349,1018,ice_skating_rink-outdoor-s,11,11.0
350,1029,hat_shop-s,11,11.0
351,1035,witness_stand-s,11,11.0
352,1016,butchers_shop-s,11,11.0
353,1054,lido_deck-outdoor-s,11,11.0
354,1002,flight_of_stairs-urban-s,11,11.0
355,1050,formal_garden-s,11,11.0
356,996,escalator-outdoor-s,11,11.0
357,1020,assembly_line-s,11,11.0
358,1049,moon_bounce-s,11,11.0
359,1001,hut-s,11,11.0
360,1038,anechoic_chamber-s,11,11.0
361,995,beach_house-s,11,11.0
362,1044,driving_range-outdoor-s,11,11.0
363,1042,food_court-s,11,11.0
364,1005,mine-s,11,11.0
365,1036,road_cut-s,11,11.0
366,1053,airport_ticket_counter-s,11,11.0
367,1026,industrial_park-s,11,11.0
368,999,sun_deck-s,11,11.0
369,1047,carport-freestanding-s,11,11.0
370,1014,elevator-door-s,11,11.0
371,1097,dining_hall-s,10,10.0
372,1119,manhole-s,10,10.0
373,1092,batters_box-s,10,10.0
374,1109,checkout_counter-s,10,10.0
375,1103,natural_history_museum-s,10,10.0
376,1159,bullpen-s,10,10.0
377,1161,junkyard-s,10,10.0
378,1174,japanese_garden-s,10,10.0
379,1101,granary-s,10,10.0
380,1134,museum-outdoor-s,10,10.0
381,1095,bazaar-outdoor-s,10,10.0
382,1112,zen_garden-s,10,10.0
383,1136,bedchamber-s,10,10.0
384,1118,air_base-s,10,10.0
385,1098,banquet_hall-s,10,10.0
386,1179,cubicle-library-s,10,10.0
387,1106,cabana-s,10,10.0
388,1123,limousine_interior-s,10,10.0
389,1086,chapel-s,10,10.0
390,1096,hoodoo-s,10,10.0
391,1152,building_complex-s,10,10.0
392,1082,control_tower-indoor-s,10,10.0
393,1167,canteen-s,10,10.0
394,1151,cafeteria-s,10,10.0
395,1163,cheese_factory-s,10,10.0
396,1121,badminton_court-indoor-s,10,10.0
397,1116,hot_tub-indoor-s,10,10.0
398,1115,watering_hole-s,10,10.0
399,1105,cottage-s,10,10.0
400,1100,gulch-s,10,10.0
401,1132,car_dealership-s,10,10.0
402,1099,basketball_court-outdoor-s,10,10.0
403,1085,choir_loft-exterior-s,10,10.0
404,1160,archaelogical_excavation-s,10,10.0
405,1177,jail-outdoor-s,10,10.0
406,1173,earth_fissure-s,10,10.0
407,1172,nunnery-s,10,10.0
408,1130,convenience_store-indoor-s,10,10.0
409,1171,bleachers-indoor-s,10,10.0
410,1129,clean_room-s,10,10.0
411,1157,funeral_chapel-s,10,10.0
412,1124,backstairs-s,10,10.0
413,1141,hedge_maze-s,10,10.0
414,1114,gift_shop-s,10,10.0
415,1143,aquatic_theater-s,10,10.0
416,1110,labyrinth-outdoor-s,10,10.0
417,1142,flight_of_stairs-natural-s,10,10.0
418,1113,fishpond-s,10,10.0
419,1169,drainage_ditch-s,10,10.0
420,1135,fire_station-s,10,10.0
421,1108,signal_box-s,10,10.0
422,1164,lake-artificial-s,10,10.0
423,1094,liquor_store-outdoor-s,10,10.0
424,1147,newsstand-outdoor-s,10,10.0
425,1175,fort-s,10,10.0
426,1131,barnyard-s,10,10.0
427,1127,brewery-outdoor-s,10,10.0
428,1144,mission-s,10,10.0
429,1166,hotel_breakfast_area-s,10,10.0
430,1093,quadrangle-s,10,10.0
431,1117,call_center-s,10,10.0
432,1150,hangar-outdoor-s,10,10.0
433,1087,jacuzzi-outdoor-s,10,10.0
434,1111,bus_shelter-s,10,10.0
435,1128,loading_dock-s,10,10.0
436,1170,auto_mechanics-indoor-s,10,10.0
437,1102,pilothouse-indoor-s,10,10.0
438,1158,beer_garden-s,10,10.0
439,1168,catacomb-s,10,10.0
440,1148,football_field-s,10,10.0
441,1154,bayou-s,10,10.0
442,1153,covered_bridge-interior-s,10,10.0
443,1120,joss_house-s,10,10.0
444,1137,bistro-indoor-s,10,10.0
445,1126,cardroom-s,10,10.0
446,1088,hot_tub-outdoor-s,10,10.0
447,1107,landing-s,10,10.0
448,1104,bakery-kitchen-s,10,10.0
449,1090,heliport-s,10,10.0
450,1091,dirt_track-s,10,10.0
451,1178,pub-outdoor-s,10,10.0
452,1176,circus_tent-outdoor-s,10,10.0
453,1162,bank_vault-s,10,10.0
454,1089,imaret-s,10,10.0
455,1146,basketball_court-indoor-s,10,10.0
456,1084,liquor_store-indoor-s,10,10.0
457,1145,lean-to-s,10,10.0
458,1083,mausoleum-s,10,10.0
459,1140,rubble-s,10,10.0
460,1156,hunting_lodge-indoor-s,10,10.0
461,1138,butte-s,10,10.0
462,1155,throne_room-s,10,10.0
463,1139,field_road-s,10,10.0
464,1133,tearoom-s,10,10.0
465,1165,florist_shop-outdoor-s,10,10.0
466,1125,moat-dry-s,10,10.0
467,1149,freeway-s,10,10.0
468,1122,fjord-s,10,10.0
