number,name,category,frequency,coverage,syns
249,exhaust hood,object(295),295,6.387572,
250,hill,object(293),293,35.002467,
251,cow,object(290),290,62.776620,moo-cow
252,napkin,object(289),289,4.533592,serviette;table napkin
253,button panel,part(288),288,2.535338,
254,doorframe,object(285),285,9.270172,doorcase
255,manhole,object(281),281,4.001998,
256,crosswalk,part(279),279,19.708060,
257,umbrella,object(278),278,5.873839,
258,case,object(274),274,49.232388,vitrine;showcase;display case
259,autobus,object(273),273,15.647383,double-decker;charabanc;motorcoach;omnibus;jitney;motorbus
260,dishwasher,object(268),268,7.808915,dishwashing machine;dish washer
261,monitor,part(263),263,11.452951,
262,container,object(263),263,5.833407,
263,shutter,part(178);object(82),260,6.934243,
264,hoof,part(254),254,0.788563,
265,front,part(253),253,6.684781,
266,water tank,part(246);object(7),253,6.641264,cistern
267,text,object(252),252,5.645523,textual matter
268,knife,object(252),252,1.003490,
269,building_facade-s,scene(251),251,251.000000,
270,crt screen,object(246),246,6.940926,
271,curb,object(241);part(1),242,3.934621,kerb;curbing
272,magazine,object(242),242,3.184245,
273,monitoring device,object(239),239,7.730664,
274,beam,object(166);part(72),238,13.386909,
275,gate,object(224);part(13),237,4.813150,
276,dotted,texture(234),234,234.000000,
277,radiator,object(233),233,5.844000,
278,platform,object(232),232,32.656964,
279,blanket,object(231),231,6.652412,
280,central reservation,object(230),230,8.949153,
281,grill,object(186);part(44),230,7.216270,grille;grillwork
282,bulletin board,object(229),229,7.048618,notice board
283,laptop,object(225),225,10.494733,laptop computer
284,shoe,object(222),222,5.422193,
285,pool table,object(217),217,35.289723,snooker table;billiard table
286,fruit,object(214);part(2),216,4.280963,
287,coffee maker,object(211),211,1.641938,
288,candle,object(203);part(6),209,1.151397,taper;wax light
289,backplate,part(207),207,0.543941,
290,banded,texture(205),205,205.000000,
291,handbag,object(199),199,2.153006,purse;pocketbook
292,wineglass,object(197),197,5.822226,
293,mug,object(197),197,1.332147,
294,apparel,object(195),195,17.567616,clothes;wearing apparel;dress
295,striped,texture(194),194,194.000000,
296,land,object(194),194,20.858720,
297,pitcher,object(194),194,1.056115,ewer
298,remote control,object(194),194,0.821607,remote
299,bar,object(190),190,27.275308,
300,ball,object(186),186,9.937604,
301,conference_room-s,scene(184),184,184.000000,
302,hotel_room-s,scene(176),176,176.000000,
303,grandstand,object(172),172,41.740199,covered stand
304,backpack,object(171),171,2.265010,back pack;knapsack;haversack;rucksack;packsack
305,pane of glass,object(170),170,9.374228,window glass
306,face,part(170),170,0.554451,
307,ladder,object(146);part(23),169,4.140714,
308,bumpy,texture(166),166,166.000000,
309,hedge,object(166),166,14.286756,hedgerow
310,arm panel,part(166),166,1.214925,
311,fork,object(166),166,0.762759,
312,tower,object(150);part(15),165,17.502622,
313,notebook,object(164),164,1.894590,
314,toilet tissue,object(164),164,0.704067,bathroom tissue;toilet paper
315,vent,object(114);part(49),163,0.971869,venthole;blowhole;vent-hole
316,muntin,part(162),162,0.853817,
317,screen door,object(157),157,25.376157,
318,brush,object(156),156,12.641270,
319,heater,object(156),156,2.804335,warmer
320,booklet,object(156),156,1.279226,leaflet;pamphlet;brochure
321,kitchen island,object(153),153,18.803710,
322,post,object(139);part(14),153,1.484331,
323,stretcher,part(122);object(29),151,3.639131,
324,smeared,texture(149),149,149.000000,
325,knitted,texture(148),148,148.000000,
326,porous,texture(148),148,148.000000,
327,plane,object(147);part(1),148,12.282118,
328,fibrous,texture(146),146,146.000000,
329,pitted,texture(146),146,146.000000,
330,sash,part(145),145,8.473978,
331,veined,texture(144),144,144.000000,
332,shower,object(140);part(4),144,6.830217,
333,mountain_snowy-s,scene(143),143,143.000000,
334,perforated,texture(143),143,143.000000,
335,woven,texture(142),142,142.000000,
336,soap dispenser,object(142),142,0.511169,
337,meshed,texture(140),140,140.000000,
338,crosshatched,texture(139),139,139.000000,
339,computer case,part(138),138,3.754080,
340,spoon,object(138),138,0.584265,
341,sprinkled,texture(137),137,137.000000,
342,polka-dotted,texture(136),136,136.000000,
343,grid,texture(134);object(2),136,134.108822,
344,buffet,object(136),136,12.038659,sideboard
345,kettle,object(136),136,0.999714,boiler
346,marbled,texture(135),135,135.000000,
347,stained,texture(135),135,135.000000,
348,metal shutter,part(134),134,4.371029,
349,traveling bag,object(134),134,3.877728,grip;suitcase;travelling bag
350,stage,object(133),133,22.625591,
351,hat,object(133),133,3.633413,chapeau
352,printer,object(133),133,2.973245,
353,gauzy,texture(130),130,130.000000,
354,interlaced,texture(130),130,130.000000,
355,blade,part(130),130,1.640541,
356,zigzagged,texture(129),129,129.000000,
357,frilly,texture(129),129,129.000000,
358,teapot,object(129),129,0.656720,
359,spiralled,texture(128),128,128.000000,
360,swirly,texture(128),128,128.000000,
361,chest,object(128),128,4.909758,
362,matted,texture(127),127,127.000000,
363,cracked,texture(127),127,127.000000,
364,studded,texture(127),127,127.000000,
365,embankment,object(127),127,20.787580,
366,cloud,part(127),127,10.481861,
367,horn,part(127),127,1.223803,
368,flecked,texture(126),126,126.000000,
369,potholed,texture(126),126,126.000000,
370,stratified,texture(125),125,125.000000,
371,braided,texture(125),125,125.000000,
372,lined,texture(125),125,125.000000,
373,scaly,texture(125),125,125.000000,
374,paisley,texture(124),124,124.000000,
375,wrinkled,texture(124),124,124.000000,
376,waffled,texture(124),124,124.000000,
377,freckled,texture(124),124,124.000000,
378,honeycombed,texture(124),124,124.000000,
379,document,object(124),124,1.947295,written document;papers
380,office-s,scene(123),123,123.000000,
381,rack,object(123),123,4.385170,
382,chequered,texture(122),122,122.000000,
383,corridor-s,scene(122),122,122.000000,
384,lacelike,texture(122),122,122.000000,
385,crystalline,texture(122),122,122.000000,
386,windows,part(122),122,5.581212,
387,bubbly,texture(121),121,121.000000,
388,silver screen,object(121),121,9.755644,projection screen
389,pleated,texture(120),120,120.000000,
390,cobwebbed,texture(120),120,120.000000,
391,grooved,texture(120),120,120.000000,
392,animal,object(120),120,8.833350,beast;creature;animate being;fauna;brute
393,pier,object(120),120,8.078401,wharfage;wharf;dock
394,crane,object(120),120,2.150041,
395,fur,material(118);object(1),119,8.355887,
396,airport_terminal-s,scene(118),118,118.000000,
397,tap,part(105);object(12),117,0.502194,
398,lower sash,part(116),116,5.039028,
399,statue,object(107);part(9),116,1.753532,
400,postbox,object(116),116,0.937219,letter box;mailbox
401,dome,part(88);object(27),115,6.963571,
402,dormer,part(114),114,1.480583,
403,wire,object(113),113,1.329356,
404,console table,object(111),111,2.935352,console
405,rubber,material(111),111,2.268501,latex
406,trunk,object(61);part(49),110,3.557852,tree trunk;bole
407,game_room-s,scene(109),109,109.000000,
408,camera,object(109),109,1.197580,photographic camera
409,microphone,object(106);part(2),108,0.660827,mike
410,waiting_room-s,scene(106),106,106.000000,
411,jacket,object(106),106,4.437622,
412,dishrag,object(106),106,0.867526,dishcloth
413,poolroom-home-s,scene(105),105,105.000000,
414,home_office-s,scene(105),105,105.000000,
415,fountain,object(105),105,11.783365,
416,upper sash,part(104),104,3.590185,
417,paper towel,object(104),104,0.517981,
418,washer,object(103),103,17.085438,automatic washer;washing machine
419,partition,object(102);part(1),103,13.100605,divider
420,entrance,part(101),101,2.049189,
421,banner,object(101),101,1.391674,streamer
422,runway,object(100),100,27.322507,
423,corner pocket,part(100),100,0.844040,
424,art_studio-s,scene(98),98,98.000000,
425,tent,object(98),98,17.846607,collapsible shelter
426,spindle,part(97);object(1),98,0.876462,
427,towel rack,object(98),98,0.603205,towel horse
428,attic-s,scene(97),97,97.000000,
429,forest-broadleaf-s,scene(97),97,97.000000,
430,park-s,scene(94),94,94.000000,
431,mountain-s,scene(93),93,93.000000,
432,waterfall,object(89);part(4),93,20.876703,falls
433,guitar,object(93),93,3.948598,
434,system,object(93),93,0.933285,
435,place mat,object(92),92,1.376424,
436,diffusor,part(92),92,1.166249,
437,foliage,material(90),90,2.442207,
438,bouquet,object(90),90,1.422093,nosegay;corsage;posy
439,side rail,part(89),89,2.123684,
440,coast-s,scene(88),88,88.000000,
441,booth,object(88),88,18.192128,cubicle;stall;kiosk
442,dirt track,object(88),88,13.792903,
443,vending machine,object(88),88,3.173360,
444,alley-s,scene(87),87,87.000000,
445,deck chair,object(86),86,4.049475,beach chair
446,canister,object(85),85,0.643180,cannister
447,hovel,object(83);part(1),84,20.111508,hutch;hut;shanty;shack
448,skylight,object(78);part(6),84,2.815575,fanlight
449,helmet,object(84),84,1.627810,
450,telephone booth,object(82),82,2.321504,call box;telephone box;phone booth;telephone kiosk
451,net,object(78);part(3),81,5.509807,
452,shirt,object(81),81,5.241531,
453,parlor-s,scene(80),80,80.000000,
454,cradle,object(80),80,12.702224,
455,candelabrum,object(80),80,0.860729,candelabra
456,closet-s,scene(79),79,79.000000,
457,beach-s,scene(79),79,79.000000,
458,easel,object(78),78,3.790878,
459,childs_room-s,scene(77),77,77.000000,
460,art_gallery-s,scene(76),76,76.000000,
461,cart,object(75);part(1),76,3.612709,
462,newspaper,object(76),76,2.675446,
463,cross,object(76),76,0.550120,
464,smoke,object(75),75,7.729805,
465,footbridge,object(75),75,7.609112,pedestrian bridge;overcrossing
466,casing,part(72);object(3),75,1.615748,
467,apartment_building-outdoor-s,scene(74),74,74.000000,
468,arcade machine,object(74),74,18.828390,
469,machine,object(74),74,9.360267,
470,baby buggy,object(73),73,2.250533,perambulator;go-cart;pram;baby carriage;carriage;pusher;stroller;pushchair
471,tank,object(72),72,9.850693,storage tank
472,shower stall,object(71),71,1.374127,shower bath
473,swimming pool,object(70),70,16.223347,natatorium;swimming bath
474,sales booth,object(70),70,13.859414,
475,scaffolding,object(70),70,5.471746,staging
476,sill,part(64);object(6),70,0.576749,
477,staircase-s,scene(69),69,69.000000,
478,castle-s,scene(69),69,69.000000,
479,fridge,object(69),69,6.953511,
480,patty,object(69),69,5.234649,cake
481,altar,object(69),69,3.516633,communion table;lord's table
482,pasture-s,scene(68),68,68.000000,
483,streetcar,object(68),68,2.465425,trolley;trolley car;tramcar;tram
484,dorm_room-s,scene(67),67,67.000000,
485,blackboard,object(59);material(8),67,4.668267,chalkboard
486,tapestry,object(67),67,3.987209,tapis
487,trouser,object(67),67,3.275669,pant
488,billboard,object(67),67,1.309353,hoarding
489,nursery-s,scene(66),66,66.000000,
490,decoration,object(66),66,2.050760,ornament;ornamentation
491,lobby-s,scene(65),65,65.000000,
492,garage-indoor-s,scene(65),65,65.000000,
493,reception-s,scene(63),63,63.000000,
494,hot tub,object(63),63,10.496994,
495,garage door,part(63),63,5.148798,
496,file cabinet,object(62),62,8.618151,filing cabinet
497,drawing,object(61);part(1),62,3.807337,
498,piano,object(62),62,3.712695,pianoforte;forte-piano
499,bar-s,scene(61),61,61.000000,
500,conveyer belt,object(61),61,11.155161,conveyor belt;transporter;conveyor;conveyer
501,arcade,object(61),61,9.861644,colonnade
502,equipment,object(61),61,5.250798,
503,saucepan,object(61),61,0.640580,
504,forest-needleleaf-s,scene(59),59,59.000000,
505,shaft,part(59),59,3.743809,
506,court,object(58),58,19.819265,
507,head roof,part(58),58,1.199033,
508,capital,part(58),58,0.652280,
509,bakery-shop-s,scene(57),57,57.000000,
510,roundabout-s,scene(57),57,57.000000,
511,warehouse-indoor-s,scene(57),57,57.000000,
512,lake,object(57),57,14.598567,
513,barrel,object(57),57,9.878491,cask
514,ship,object(56),56,10.365012,
515,house-s,scene(55),55,55.000000,
516,cage,object(55),55,12.210087,
517,railroad train,object(55),55,8.718440,
518,arch,object(49);part(6),55,6.893209,archway
519,lighthouse,object(55),55,3.685800,beacon light;pharos
520,bell,object(37);part(18),55,3.678479,
521,bus stop,object(55),55,3.329713,
522,exhibitor,object(55),55,3.085508,
523,jersey,object(55),55,2.842335,t-shirt;tee shirt
524,plinth,object(55),55,1.559544,footstall
525,forecourt,object(54),54,7.567928,
526,eiderdown,object(53),53,7.105642,duvet;continental quilt
527,mat,object(53),53,5.431571,
528,cash register,object(53),53,1.282572,register
529,casino-indoor-s,scene(52),52,52.000000,
530,calendar,object(52),52,1.023378,
531,briefcase,object(52),52,0.510788,
532,field-cultivated-s,scene(51),51,51.000000,
533,bridge-s,scene(51),51,51.000000,
534,classroom-s,scene(51),51,51.000000,
535,river-s,scene(50),50,50.000000,
536,fire escape,part(50),50,4.181489,
537,mouse pad,object(50),50,1.790996,
538,cd,object(50),50,1.515578,
539,rocking chair,object(47);part(3),50,1.344715,rocker
540,bread,object(50),50,1.215543,staff of life;breadstuff
541,youth_hostel-s,scene(49),49,49.000000,
542,cliff,object(49),49,14.545675,drop-off;drop
543,field-wild-s,scene(48),48,48.000000,
544,escalator,object(48),48,12.175358,moving stairway;moving staircase
545,fuselage,part(48),48,2.682681,
546,baseboard,object(47);part(1),48,0.676565,mopboard;skirting board
547,lighthouse-s,scene(47),47,47.000000,
548,clouds,part(47),47,9.417347,
549,elevator,object(46);part(1),47,7.804698,lift
550,table football,object(47),47,4.229230,
551,grand piano,object(47),47,2.369358,grand
552,earmuffs,part(47),47,0.540642,
553,creek-s,scene(46),46,46.000000,
554,museum-indoor-s,scene(46),46,46.000000,
555,shoe_shop-s,scene(46),46,46.000000,
556,window_seat-s,scene(46),46,46.000000,
557,scale,object(46),46,0.558250,weighing machine
558,amusement_park-s,scene(45),45,45.000000,
559,dinette-vehicle-s,scene(45),45,45.000000,
560,vault,object(45),45,9.920218,
561,radio,object(45),45,0.543427,
562,lake-natural-s,scene(44),44,44.000000,
563,dinette-home-s,scene(44),44,44.000000,
564,riser,part(44),44,1.931609,
565,cockpit-s,scene(43),43,43.000000,
566,fish,object(43),43,2.298352,
567,panel,part(36);object(7),43,1.822715,
568,tread,part(43),43,1.241146,
569,boot,object(43),43,0.944841,
570,stabilizer,part(43),43,0.500954,
571,jacuzzi-indoor-s,scene(42),42,42.000000,
572,linoleum,material(42),42,5.163539,
573,dummy,object(42),42,1.430081,
574,playroom-s,scene(41),41,41.000000,
575,mezzanine,object(41),41,4.741372,first balcony
576,fire place,object(41),41,3.908004,
577,map,object(41),41,2.383976,
578,menu,object(41),41,1.231664,
579,parking_lot-s,scene(40),40,40.000000,
580,valley-s,scene(40),40,40.000000,
581,rubbish,object(40),40,7.315041,trash;scrap
582,gym shoe,object(40),40,1.000171,sneaker;tennis shoe
583,auditorium-s,scene(39),39,39.000000,
584,beauty_salon-s,scene(39),39,39.000000,
585,tower-s,scene(39),39,39.000000,
586,slot machine,object(39),39,10.150583,coin machine
587,arcades,part(39),39,2.931612,
588,basketball hoop,object(39),39,1.073977,
589,wet_bar-s,scene(38),38,38.000000,
590,artists_loft-s,scene(38),38,38.000000,
591,tire,object(38),38,1.158291,
592,balcony-interior-s,scene(37),37,37.000000,
593,video player,object(37),37,1.099603,
594,arrival_gate-outdoor-s,scene(36),36,36.000000,
595,merchandise,object(36),36,6.608641,ware;product
596,television stand,object(36),36,1.266416,
597,playground-s,scene(35),35,35.000000,
598,plaza-s,scene(35),35,35.000000,
599,ice,object(35),35,11.036608,water ice
600,playground,object(35),35,5.472401,
601,guardrail,object(35),35,2.131654,
602,hill-s,scene(34),34,34.000000,
603,deck,object(33);part(1),34,5.533300,
604,table tennis,object(34),34,2.531563,
605,mattress,object(32);part(2),34,2.393007,
606,bidet,object(34),34,1.402497,
607,sweater,object(34),34,0.620704,jumper
608,clothing_store-s,scene(33),33,33.000000,
609,utility_room-s,scene(33),33,33.000000,
610,bow_window-indoor-s,scene(33),33,33.000000,
611,pantry-s,scene(33),33,33.000000,
612,aircraft carrier,object(33),33,11.650430,carrier;attack aircraft carrier;flattop
613,valley,object(33),33,5.725466,vale
614,railway,object(33),33,4.647699,
615,balloon,object(33),33,0.651331,
616,galley-s,scene(32),32,32.000000,
617,bookstore-s,scene(32),32,32.000000,
618,abbey-s,scene(32),32,32.000000,
619,basement-s,scene(32),32,32.000000,
620,pitch,object(32),32,12.986734,
621,display board,object(32),32,2.411194,
622,cockpit,part(29);object(3),32,1.510469,
623,pallet,object(32),32,0.995392,
624,supermarket-s,scene(31),31,31.000000,
625,golf_course-s,scene(31),31,31.000000,
626,patio,object(31),31,5.344237,
627,ad,object(31),31,1.405672,advert;advertizement;advertizing;advertising;advertisement
628,price tag,object(31),31,0.653122,
629,coach roof,part(31),31,0.591720,
630,hallway-s,scene(30),30,30.000000,
631,controls,object(30),30,12.297977,
632,island,object(30),30,2.273512,
633,metal shutters,part(27);object(3),30,1.346388,
634,laundromat-s,scene(29),29,29.000000,
635,ballroom-s,scene(29),29,29.000000,
636,greenhouse-indoor-s,scene(29),29,29.000000,
637,gazebo-exterior-s,scene(29),29,29.000000,
