,synid,class_name
383,n01448594,guppy
384,n01448951,topminnow
385,n01449374,mosquitofish
386,n01449712,platy
387,n01449980,mollie
388,n01450661,squirrelfish
389,n01450950,reef squirrelfish
390,n01451115,deepwater squirrelfish
391,n01451295,Holocentrus ascensionis
392,n01451426,soldierfish
393,n01451863,anomalops
394,n01452345,flashlight fish
395,n01453087,John Dory
396,n01453475,boarfish
397,n01453742,boarfish
398,n01454545,cornetfish
399,n01454856,stickleback
400,n01455317,three-spined stickleback
401,n01455461,ten-spined stickleback
402,n01455778,pipefish
403,n01456137,dwarf pipefish
404,n01456454,deepwater pipefish
405,n01456756,seahorse
406,n01457082,snipefish
407,n01457407,shrimpfish
408,n01457852,trumpetfish
409,n01458746,pellicle
410,n01458842,embryo
411,n01459791,fetus
412,n01460303,abortus
413,n01461315,spawn
414,n01461646,blastula
415,n01462042,blastocyst
416,n01462544,gastrula
417,n01462803,morula
418,n01464844,yolk
419,n01466257,chordate
420,n01467336,cephalochordate
421,n01467804,lancelet
422,n01468238,tunicate
423,n01468712,ascidian
424,n01469103,sea squirt
425,n01469723,salp
426,n01470145,doliolum
427,n01470479,larvacean
428,n01470733,appendicularia
429,n01470895,ascidian tadpole
430,n01471682,vertebrate
431,n01472303,Amniota
432,n01472502,amniote
433,n01473806,aquatic vertebrate
434,n01474283,jawless vertebrate
435,n01474864,ostracoderm
436,n01475232,heterostracan
437,n01475940,anaspid
438,n01476418,conodont
439,n01477080,cyclostome
440,n01477525,lamprey
441,n01477875,sea lamprey
442,n01478511,hagfish
443,n01478969,Myxine glutinosa
444,n01479213,eptatretus
445,n01479820,gnathostome
446,n01480106,placoderm
447,n01480516,cartilaginous fish
448,n01480880,holocephalan
449,n01481331,chimaera
450,n01481498,rabbitfish
451,n01482071,elasmobranch
452,n01482330,shark
453,n01483021,cow shark
454,n01483522,mackerel shark
455,n01483830,porbeagle
456,n01484097,mako
457,n01484285,shortfin mako
458,n01484447,longfin mako
459,n01484562,bonito shark
460,n01484850,great white shark
461,n01485479,basking shark
462,n01486010,thresher
463,n01486540,carpet shark
464,n01486838,nurse shark
465,n01487506,sand tiger
466,n01488038,whale shark
467,n01488918,requiem shark
468,n01489501,bull shark
469,n01489709,sandbar shark
470,n01489920,blacktip shark
471,n01490112,whitetip shark
472,n01490360,dusky shark
473,n01490670,lemon shark
474,n01491006,blue shark
475,n01491361,tiger shark
476,n01491661,soupfin shark
477,n01491874,dogfish
478,n01492357,smooth dogfish
479,n01492569,smoothhound
480,n01492708,American smooth dogfish
481,n01492860,Florida smoothhound
482,n01493146,whitetip shark
483,n01493541,spiny dogfish
484,n01493829,Atlantic spiny dogfish
485,n01494041,Pacific spiny dogfish
486,n01494475,hammerhead
487,n01494757,smooth hammerhead
488,n01494882,smalleye hammerhead
489,n01495006,shovelhead
490,n01495493,angel shark
491,n01495701,ray
492,n01496331,electric ray
493,n01497118,sawfish
494,n01497413,smalltooth sawfish
495,n01497738,guitarfish
496,n01498041,stingray
497,n01498406,roughtail stingray
498,n01498699,butterfly ray
499,n01498989,eagle ray
500,n01499396,spotted eagle ray
501,n01499732,cownose ray
502,n01500091,manta
503,n01500476,Atlantic manta
504,n01500854,devil ray
505,n01501160,skate
506,n01501641,grey skate
507,n01501777,little skate
508,n01501948,thorny skate
509,n01502101,barndoor skate
510,n01503061,bird
511,n01503976,dickeybird
512,n01504179,fledgling
513,n01504344,nestling
514,n01514668,cock
515,n01514752,gamecock
516,n01514859,hen
517,n01514926,nester
518,n01515078,night bird
519,n01515217,night raven
520,n01515303,bird of passage
521,n01516212,archaeopteryx
522,n01517389,archaeornis
523,n01517565,ratite
524,n01517966,carinate
525,n01518878,ostrich
526,n01519563,cassowary
527,n01519873,emu
528,n01520576,kiwi
529,n01521399,rhea
530,n01521756,rhea
531,n01522450,elephant bird
532,n01523105,moa
533,n01524359,passerine
534,n01524761,nonpasserine bird
535,n01525720,oscine
536,n01526521,songbird
537,n01526766,honey eater
538,n01527194,accentor
539,n01527347,hedge sparrow
540,n01527617,lark
541,n01527917,skylark
542,n01528396,wagtail
543,n01528654,pipit
544,n01528845,meadow pipit
545,n01529672,finch
546,n01530439,chaffinch
547,n01530575,brambling
548,n01531178,goldfinch
549,n01531344,linnet
550,n01531512,siskin
551,n01531639,red siskin
552,n01531811,redpoll
553,n01531971,redpoll
554,n01532325,New World goldfinch
555,n01532511,pine siskin
556,n01532829,house finch
557,n01533000,purple finch
558,n01533339,canary
559,n01533481,common canary
560,n01533651,serin
561,n01533893,crossbill
562,n01534155,bullfinch
563,n01534433,junco
564,n01534582,dark-eyed junco
565,n01534762,New World sparrow
566,n01535140,vesper sparrow
567,n01535469,white-throated sparrow
568,n01535690,white-crowned sparrow
569,n01536035,chipping sparrow
570,n01536186,field sparrow
571,n01536334,tree sparrow
572,n01536644,song sparrow
573,n01536780,swamp sparrow
574,n01537134,bunting
575,n01537544,indigo bunting
576,n01537895,ortolan
577,n01538059,reed bunting
578,n01538200,yellowhammer
579,n01538362,yellow-breasted bunting
580,n01538630,snow bunting
581,n01538955,honeycreeper
582,n01539272,banana quit
583,n01539573,sparrow
584,n01539925,English sparrow
585,n01540090,tree sparrow
586,n01540233,grosbeak
587,n01540566,evening grosbeak
588,n01540832,hawfinch
589,n01541102,pine grosbeak
590,n01541386,cardinal
591,n01541760,pyrrhuloxia
592,n01541922,towhee
593,n01542168,chewink
594,n01542433,green-tailed towhee
595,n01542786,weaver
596,n01543175,baya
597,n01543383,whydah
598,n01543632,Java sparrow
599,n01543936,avadavat
600,n01544208,grassfinch
601,n01544389,zebra finch
602,n01544704,honeycreeper
603,n01545574,lyrebird
604,n01546039,scrubbird
605,n01546506,broadbill
606,n01546921,tyrannid
607,n01547832,New World flycatcher
608,n01548301,kingbird
609,n01548492,Arkansas kingbird
610,n01548694,Cassin's kingbird
611,n01548865,eastern kingbird
612,n01549053,grey kingbird
613,n01549430,pewee
614,n01549641,western wood pewee
615,n01549886,phoebe
616,n01550172,vermillion flycatcher
617,n01550761,cotinga
618,n01551080,cock of the rock
619,n01551300,cock of the rock
620,n01551711,manakin
621,n01552034,bellbird
622,n01552333,umbrella bird
623,n01552813,ovenbird
624,n01553142,antbird
625,n01553527,ant thrush
626,n01553762,ant shrike
627,n01554017,spotted antbird
628,n01554448,woodhewer
629,n01555004,pitta
630,n01555305,scissortail
631,n01555809,Old World flycatcher
632,n01556182,spotted flycatcher
633,n01556514,thickhead
634,n01557185,thrush
635,n01557962,missel thrush
636,n01558149,song thrush
637,n01558307,fieldfare
638,n01558461,redwing
639,n01558594,blackbird
640,n01558765,ring ouzel
641,n01558993,robin
642,n01559160,clay-colored robin
643,n01559477,hermit thrush
644,n01559639,veery
645,n01559804,wood thrush
646,n01560105,nightingale
647,n01560280,thrush nightingale
648,n01560419,bulbul
649,n01560636,Old World chat
650,n01560793,stonechat
651,n01560935,whinchat
652,n01561181,solitaire
653,n01561452,redstart
654,n01561732,wheatear
655,n01562014,bluebird
656,n01562265,robin
657,n01562451,bluethroat
658,n01563128,warbler
659,n01563449,gnatcatcher
660,n01563746,kinglet
661,n01563945,goldcrest
662,n01564101,gold-crowned kinglet
663,n01564217,ruby-crowned kinglet
664,n01564394,Old World warbler
665,n01564773,blackcap
666,n01564914,greater whitethroat
667,n01565078,lesser whitethroat
668,n01565345,wood warbler
669,n01565599,sedge warbler
670,n01565930,wren warbler
671,n01566207,tailorbird
672,n01566645,babbler
673,n01567133,New World warbler
674,n01567678,parula warbler
675,n01567879,Wilson's warbler
676,n01568132,flycatching warbler
677,n01568294,American redstart
678,n01568720,Cape May warbler
679,n01568892,yellow warbler
680,n01569060,Blackburn
681,n01569262,Audubon's warbler
682,n01569423,myrtle warbler
683,n01569566,blackpoll
684,n01569836,New World chat
685,n01569971,yellow-breasted chat
686,n01570267,ovenbird
687,n01570421,water thrush
688,n01570676,yellowthroat
689,n01570839,common yellowthroat
690,n01571410,riflebird
691,n01571904,New World oriole
692,n01572328,northern oriole
693,n01572489,Baltimore oriole
694,n01572654,Bullock's oriole
695,n01572782,orchard oriole
696,n01573074,meadowlark
697,n01573240,eastern meadowlark
698,n01573360,western meadowlark
699,n01573627,cacique
700,n01573898,bobolink
701,n01574045,New World blackbird
702,n01574390,grackle
703,n01574560,purple grackle
704,n01574801,rusty blackbird
705,n01575117,cowbird
706,n01575401,red-winged blackbird
707,n01575745,Old World oriole
708,n01576076,golden oriole
709,n01576358,fig-bird
710,n01576695,starling
711,n01577035,common starling
712,n01577458,rose-colored starling
713,n01577659,myna
714,n01577941,crested myna
715,n01578180,hill myna
716,n01578575,corvine bird
717,n01579028,crow
718,n01579149,American crow
719,n01579260,raven
720,n01579410,rook
721,n01579578,jackdaw
722,n01579729,chough
723,n01580077,jay
724,n01580379,Old World jay
725,n01580490,common European jay
726,n01580772,New World jay
727,n01580870,blue jay
728,n01581166,Canada jay
729,n01581434,Rocky Mountain jay
730,n01581730,nutcracker
731,n01581874,common nutcracker
732,n01581984,Clark's nutcracker
733,n01582220,magpie
734,n01582398,European magpie
735,n01582498,American magpie
736,n01582856,Australian magpie
737,n01583209,butcherbird
738,n01583495,currawong
739,n01583828,piping crow
740,n01584225,wren
741,n01584695,winter wren
742,n01584853,house wren
743,n01585121,marsh wren
744,n01585287,long-billed marsh wren
745,n01585422,sedge wren
746,n01585715,rock wren
747,n01586020,Carolina wren
748,n01586374,cactus wren
749,n01586941,mockingbird
750,n01587278,blue mockingbird
751,n01587526,catbird
752,n01587834,thrasher
753,n01588002,brown thrasher
754,n01588431,New Zealand wren
755,n01588725,rock wren
756,n01588996,rifleman bird
757,n01589286,creeper
758,n01589718,brown creeper
759,n01589893,European creeper
760,n01590220,wall creeper
761,n01591005,European nuthatch
762,n01591123,red-breasted nuthatch
763,n01591301,white-breasted nuthatch
764,n01591697,titmouse
765,n01592084,chickadee
766,n01592257,black-capped chickadee
767,n01592387,tufted titmouse
768,n01592540,Carolina chickadee
769,n01592694,blue tit
770,n01593028,bushtit
771,n01593282,wren-tit
772,n01593553,verdin
773,n01594004,fairy bluebird
774,n01594372,swallow
775,n01594787,barn swallow
776,n01594968,cliff swallow
777,n01595168,tree swallow
778,n01595450,white-bellied swallow
779,n01595624,martin
780,n01595974,house martin
781,n01596273,bank martin
782,n01596608,purple martin
783,n01597022,wood swallow
784,n01597336,tanager
785,n01597737,scarlet tanager
786,n01597906,western tanager
787,n01598074,summer tanager
788,n01598271,hepatic tanager
789,n01598588,shrike
790,n01598988,butcherbird
791,n01599159,European shrike
792,n01599269,northern shrike
793,n01599388,white-rumped shrike
794,n01599556,loggerhead shrike
795,n01599741,migrant shrike
796,n01600085,bush shrike
797,n01600341,black-fronted bush shrike
798,n01600657,bowerbird
799,n01601068,satin bowerbird
800,n01601410,great bowerbird
801,n01601694,water ouzel
802,n01602080,European water ouzel
803,n01602209,American water ouzel
804,n01602630,vireo
805,n01602832,red-eyed vireo
806,n01603000,solitary vireo
807,n01603152,blue-headed vireo
808,n01603600,waxwing
809,n01603812,cedar waxwing
810,n01603953,Bohemian waxwing
811,n01604330,bird of prey
812,n01604968,Accipitriformes
813,n01605630,hawk
814,n01606097,eyas
815,n01606177,tiercel
816,n01606522,goshawk
817,n01606672,sparrow hawk
818,n01606809,Cooper's hawk
819,n01606978,chicken hawk
820,n01607309,buteonine
821,n01607429,redtail
822,n01607600,rough-legged hawk
823,n01607812,red-shouldered hawk
824,n01607962,buzzard
825,n01608265,honey buzzard
826,n01608432,kite
827,n01608814,black kite
828,n01609062,swallow-tailed kite
829,n01609391,white-tailed kite
830,n01609751,harrier
831,n01609956,marsh harrier
832,n01610100,Montagu's harrier
833,n01610226,marsh hawk
834,n01610552,harrier eagle
835,n01610955,falcon
836,n01611472,peregrine
837,n01611674,falcon-gentle
838,n01611800,gyrfalcon
839,n01611969,kestrel
840,n01612122,sparrow hawk
841,n01612275,pigeon hawk
842,n01612476,hobby
843,n01612628,caracara
844,n01612955,Audubon's caracara
845,n01613177,carancha
846,n01613294,eagle
847,n01613615,young bird
848,n01613807,eaglet
849,n01614038,harpy
850,n01614343,golden eagle
851,n01614556,tawny eagle
852,n01614925,bald eagle
853,n01615121,sea eagle
854,n01615303,Kamchatkan sea eagle
855,n01615458,ern
856,n01615703,fishing eagle
857,n01616086,osprey
858,n01616318,vulture
859,n01616551,Aegypiidae
860,n01616764,Old World vulture
861,n01617095,griffon vulture
862,n01617443,bearded vulture
863,n01617766,Egyptian vulture
864,n01618082,black vulture
865,n01618503,secretary bird
866,n01618922,New World vulture
867,n01619310,buzzard
868,n01619536,condor
869,n01619835,Andean condor
870,n01620135,California condor
871,n01620414,black vulture
872,n01620735,king vulture
873,n01621127,owl
874,n01621635,owlet
875,n01622120,little owl
876,n01622352,horned owl
877,n01622483,great horned owl
878,n01622779,great grey owl
879,n01622959,tawny owl
880,n01623110,barred owl
881,n01623425,screech owl
882,n01623615,screech owl
883,n01623706,scops owl
884,n01623880,spotted owl
885,n01624115,Old World scops owl
886,n01624212,Oriental scops owl
887,n01624305,hoot owl
888,n01624537,hawk owl
889,n01624833,long-eared owl
890,n01625121,laughing owl
891,n01625562,barn owl
892,n01627424,amphibian
893,n01628331,Ichyostega
894,n01628770,urodele
895,n01629276,salamander
896,n01629819,European fire salamander
897,n01629962,spotted salamander
898,n01630148,alpine salamander
899,n01630284,newt
900,n01630670,common newt
901,n01630901,red eft
902,n01631175,Pacific newt
903,n01631354,rough-skinned newt
904,n01631512,California newt
905,n01631663,eft
906,n01632047,ambystomid
907,n01632308,mole salamander
908,n01632458,spotted salamander
909,n01632601,tiger salamander
910,n01632777,axolotl
911,n01632952,waterdog
912,n01633406,hellbender
913,n01633781,giant salamander
914,n01634227,olm
915,n01634522,mud puppy
916,n01635027,dicamptodon
917,n01635176,Pacific giant salamander
918,n01635480,olympic salamander
919,n01636127,lungless salamander
920,n01636352,eastern red-backed salamander
921,n01636510,western red-backed salamander
922,n01636829,dusky salamander
923,n01637112,climbing salamander
924,n01637338,arboreal salamander
925,n01637615,slender salamander
926,n01637932,web-toed salamander
927,n01638194,Shasta salamander
928,n01638329,limestone salamander
929,n01638722,amphiuma
930,n01639187,siren
931,n01639765,frog
932,n01640846,true frog
933,n01641206,wood-frog
934,n01641391,leopard frog
935,n01641577,bullfrog
936,n01641739,green frog
937,n01641930,cascades frog
938,n01642097,goliath frog
939,n01642257,pickerel frog
940,n01642391,tarahumara frog
941,n01642539,grass frog
942,n01642943,leptodactylid frog
943,n01643255,robber frog
944,n01643507,barking frog
945,n01643896,crapaud
946,n01644373,tree frog
947,n01644900,tailed frog
948,n01645466,Liopelma hamiltoni
949,n01645776,true toad
950,n01646292,bufo
951,n01646388,agua
952,n01646555,European toad
953,n01646648,natterjack
954,n01646802,American toad
955,n01646902,Eurasian green toad
956,n01647033,American green toad
957,n01647180,Yosemite toad
958,n01647303,Texas toad
959,n01647466,southwestern toad
960,n01647640,western toad
961,n01648139,obstetrical toad
962,n01648356,midwife toad
963,n01648620,fire-bellied toad
964,n01649170,spadefoot
965,n01649412,western spadefoot
966,n01649556,southern spadefoot
967,n01649726,plains spadefoot
968,n01650167,tree toad
969,n01650690,spring peeper
970,n01650901,Pacific tree toad
971,n01651059,canyon treefrog
972,n01651285,chameleon tree frog
973,n01651487,cricket frog
974,n01651641,northern cricket frog
975,n01651778,eastern cricket frog
976,n01652026,chorus frog
977,n01652297,lowland burrowing treefrog
978,n01653026,western narrow-mouthed toad
979,n01653223,eastern narrow-mouthed toad
980,n01653509,sheep frog
981,n01653773,tongueless frog
982,n01654083,Surinam toad
983,n01654637,African clawed frog
984,n01654863,South American poison toad
985,n01655344,caecilian
986,n01661091,reptile
987,n01661592,anapsid
988,n01661818,diapsid
989,n01662060,Diapsida
990,n01662622,chelonian
991,n01662784,turtle
992,n01663401,sea turtle
993,n01663782,green turtle
994,n01664065,loggerhead
995,n01664369,ridley
996,n01664492,Atlantic ridley
997,n01664674,Pacific ridley
998,n01664990,hawksbill turtle
999,n01665541,leatherback turtle
1000,n01665932,snapping turtle
1001,n01666228,common snapping turtle
1002,n01666585,alligator snapping turtle
1003,n01667114,mud turtle
1004,n01667432,musk turtle
1005,n01667778,terrapin
1006,n01668091,diamondback terrapin
1007,n01668436,red-bellied terrapin
1008,n01668665,slider
1009,n01668892,cooter
1010,n01669191,box turtle
1011,n01669372,Western box turtle
1012,n01669654,painted turtle
1013,n01670092,tortoise
1014,n01670535,European tortoise
1015,n01670802,giant tortoise
1016,n01671125,gopher tortoise
1017,n01671479,desert tortoise
1018,n01671705,Texas tortoise
1019,n01672032,soft-shelled turtle
1020,n01672432,spiny softshell
1021,n01672611,smooth softshell
1022,n01673282,tuatara
1023,n01674216,saurian
1024,n01674464,lizard
1025,n01674990,gecko
1026,n01675352,flying gecko
1027,n01675722,banded gecko
1028,n01676755,iguanid
1029,n01677366,common iguana
1030,n01677747,marine iguana
1031,n01678043,desert iguana
1032,n01678343,chuckwalla
1033,n01678657,zebra-tailed lizard
1034,n01679005,fringe-toed lizard
1035,n01679307,earless lizard
1036,n01679626,collared lizard
1037,n01679962,leopard lizard
1038,n01680264,spiny lizard
1039,n01680478,fence lizard
1040,n01680655,western fence lizard
1041,n01680813,eastern fence lizard
1042,n01680983,sagebrush lizard
1043,n01681328,side-blotched lizard
1044,n01681653,tree lizard
1045,n01681940,horned lizard
1046,n01682172,Texas horned lizard
1047,n01682435,basilisk
1048,n01682714,American chameleon
1049,n01683201,worm lizard
1050,n01683558,night lizard
1051,n01684133,skink
1052,n01684578,western skink
1053,n01684741,mountain skink
1054,n01685439,teiid lizard
1055,n01685808,whiptail
1056,n01686044,racerunner
1057,n01686220,plateau striped whiptail
1058,n01686403,Chihuahuan spotted whiptail
1059,n01686609,western whiptail
1060,n01686808,checkered whiptail
1061,n01687128,teju
1062,n01687290,caiman lizard
1063,n01687665,agamid
1064,n01687978,agama
1065,n01688243,frilled lizard
1066,n01688961,moloch
1067,n01689081,mountain devil
1068,n01689411,anguid lizard
1069,n01689811,alligator lizard
1070,n01690149,blindworm
1071,n01690466,glass lizard
1072,n01691217,legless lizard
1073,n01691652,Lanthanotus borneensis
1074,n01691951,venomous lizard
1075,n01692333,Gila monster
1076,n01692523,beaded lizard
1077,n01692864,lacertid lizard
1078,n01693175,sand lizard
1079,n01693334,green lizard
1080,n01693783,chameleon
1081,n01694178,African chameleon
1082,n01694311,horned chameleon
1083,n01694709,monitor
1084,n01694955,African monitor
1085,n01695060,Komodo dragon
1086,n01696633,crocodilian reptile
